phase,benchmark,before_mean_ns,before_ci_low_ns,before_ci_high_ns,after_mean_ns,after_ci_low_ns,after_ci_high_ns,change_percent,before_std_dev_ns,after_std_dev_ns
screening,anti_entropy_collect/late_cursor/100,409.33648011899214,398.8480556319963,420.00446024797577,337.0952423682024,335.95362246356456,338.6455808593,-17.648375177748534,24.869774069126887,3.209418174438915
screening,anti_entropy_collect/late_cursor/1000,570.1970958777598,566.5939517361783,574.3439897264469,374.21039206330784,371.8704038115721,376.96321519407053,-34.371747108383744,9.039122701006402,5.98562000786538
screening,anti_entropy_collect/late_cursor/10000,2583.8101679943816,2567.783081309082,2599.8783190870563,423.4579669892187,421.81503791309405,425.9682765866165,-83.61110377865269,37.718274907268324,5.083959182002079
screening,anti_entropy_collect/late_cursor/19,426.6195815557844,417.35255844621065,437.129283262027,340.07855104524833,336.365643852023,344.75355856830913,-20.285292624154906,23.34744666986659,9.876106424624252
screening,anti_entropy_collect/late_cursor/4,426.90757077151585,422.79824012496175,431.08014956352054,349.43558288471104,348.5874775283946,350.5499473767564,-18.147250878403465,9.756699554090082,2.330807074597055
screening,anti_entropy_collect/one_batch/100,57713.40502450258,56339.04043364277,59233.51024512459,48282.17787784222,47994.01626573905,48617.10417261893,-16.341484517602577,3400.6921900414936,732.7959450721469
screening,anti_entropy_collect/one_batch/1000,561824.8936300826,547532.3792988803,579285.7867066464,479226.6713108503,469427.523612731,491625.251863989,-14.701773320428323,37112.77532030963,26113.965283523357
screening,anti_entropy_collect/one_batch/10000,568108.5333788472,558712.5000715713,577861.5787630659,477888.3124632354,472194.10064905824,486981.21113713196,-15.880807207563596,22469.056060737254,18499.296679429048
screening,anti_entropy_collect/one_batch/19,11774.613759073365,11409.480212510003,12174.037558866732,9660.617694203545,9648.484652566294,9676.536968776098,-17.953846369192384,897.5799891569242,33.23873054143292
screening,anti_entropy_collect/one_batch/4,1810.7138458462098,1796.4354641061188,1829.31263180932,1722.9981707424013,1721.3020839144617,1724.8191087290706,-4.844259367929881,38.43058025138123,4.0997172474567645
screening,gossip_queue/mixed/128,6630.519794982804,6446.045176928832,6813.964918967066,4905.672401245418,4865.0949339774,4956.809033551896,-26.01375830357293,433.23991415728926,108.70491820284784
screening,gossip_queue/mixed/16,4581.237904726489,4508.454926722616,4645.532644766637,3421.2008629949014,3363.6283464155113,3505.877643906428,-25.321475676580153,160.44617603717793,172.13717888686585
screening,gossip_queue/mixed/4096,200104.0303414102,192869.59571749993,207731.11535376377,209100.50575909278,201349.62986639774,217603.0677440622,4.495899159218886,17406.090201820112,19061.85431286799
screening,gossip_queue/mixed/512,15442.800056221662,15018.458649587885,15886.37918660738,12867.104396010767,12824.272654854049,12917.342828387666,-16.6789419718815,1022.2244773998987,109.92318950735921
screening,gossip_queue/retire/128,9799.016188316582,9540.731395866156,10064.708479636593,7849.086849817783,7780.599879505767,7921.863408627925,-19.899235811281844,615.3766566808075,165.556827125558
screening,gossip_queue/retire/16,7825.977744682912,7747.672632627479,7906.435458925849,6717.002657754943,6615.139137687045,6826.669557346805,-14.170434968096135,184.69427509946627,246.594844000127
screening,gossip_queue/retire/4096,170381.68576514057,162187.1465392328,178717.95416276288,216895.2012041278,210159.76451196463,223872.30561098832,27.299598093601986,19445.27931731182,16039.955886186572
screening,gossip_queue/retire/512,19157.552418122614,18484.06216126994,19887.9760894753,24575.96656161996,23681.622184898606,25468.716098757683,28.283436345300817,1654.2657271674714,2096.6631892940354
screening,gossip_queue/take_batch/128,7296.104661108597,7109.541869933506,7503.075932347584,4946.826282963894,4911.0766782027285,4989.718660196292,-32.199077278419196,463.37996564170015,92.69331285729461
screening,gossip_queue/take_batch/16,4678.987311853087,4627.353616282171,4734.664434023467,3745.55945403807,3714.493120021735,3783.724619522026,-19.949356465455725,125.67628787991268,81.6433644985546
screening,gossip_queue/take_batch/4096,173272.54565903067,164919.36638122684,183834.42396041908,200582.4836289506,192268.3073443531,209471.0495332549,15.761260888762486,22331.78874135545,20137.41146081866
screening,gossip_queue/take_batch/512,18542.894629577015,17810.818085230716,19261.833949124706,11845.6572731249,11759.053675595253,11963.985554742276,-36.117539846069256,1700.7768170960028,243.41891292286272
screening,worker_codec/decode_frame/1,9828.536944408512,9389.411861740475,10265.644488798784,9907.931181060876,9507.889360258921,10311.09337681233,0.8077930326907179,1032.4438934344864,942.3023868917671
screening,worker_codec/decode_frame/10,93399.31730858424,90053.7191911836,96804.49517315788,92797.09655236141,89887.82129109961,95692.28857395575,-0.6447806831747394,7875.326127084607,6817.852062463553
